sample,label
"might to resist , if you 've got a place in your heart for smokey robinson ",1
modern-day comedies ,1
seem like such a bore ,0
meager weight ,0
new treasure ,1
achieves its emotional power and moments of revelation ,1
"'s all about anakin ... and the lustrous polished visuals rich in color and creativity and , of course , special effect ",1
quick-cut edits that often detract from the athleticism ,0
"this makes it not only a detailed historical document , but an engaging and moving portrait of a subculture ",1
the viewer takes great pleasure in watching the resourceful molly stay a step ahead of her pursuers . ,1
how ridiculous and money-oriented the record industry really is ,0
"maybe you 'll be lucky , and there 'll be a power outage during your screening so you can get your money back . ",0
suited neither to kids or adults ,0
are in this tepid genre offering ,0
is workmanlike in the extreme ,0
seem self-consciously poetic and forced ,0
the martial arts master to top form ,1
writer / director m. night shyamalan 's ability to pull together easily accessible stories that resonate with profundity is undeniable . ,1
"formulaic , its plot and pacing typical hollywood war-movie stuff ",0
"a head-turner -- thoughtfully written , ",1
the dark ,0
boozy ,0
of the theater feeling ,1
unappealing ,0
"human nature , in short , is n't nearly as funny as it thinks it is ; neither is it as smart . ",0
felt emotions can draw people together across the walls that might otherwise separate them ,1
japanese epic ,1
a big splash ,1
'll still have a good time ,1
bolado credit for good intentions ,1
feel better already . ,1
parable that loves its characters and communicates something rather beautiful about human nature ,1
entertaining itself ,1
full of nuance and character dimension ,1
love the film ,1
a new treasure ,1
the quirky and recessive charms of co-stars martin donovan and mary-louise parker ,1
on both sides it falls short ,0
stiff or just plain bad ,0
a grenade with his teeth ,0
never mind all that ; the boobs are fantasti ,1
of outrageous force and craven concealment ,0
often-hilarious ,1
doubtful this listless feature will win him any new viewers ,0
"is a very funny , heartwarming film . ",1
leaves a lot to be desired ,0
eventually becomes too heavy for the plot . ,0
artistes ,1
to mediocrity ,0
just such a dungpile that you 'd swear you ,0
"when the movie mixes the cornpone and the cosa nostra , it finds a nice rhythm . ",1
's easier to change the sheets ,0
in terms of the low-grade cheese standards on which it operates ,0
"some very good acting , ",1
is a pretty decent little documentary . ,1
"a witty , whimsical feature ",1
"a smart , provocative drama that does the nearly impossible : it gets under the skin of a man we only know as an evil , monstrous lunatic ",1
seamless and sumptuous stream ,1
an engrossing story about a horrifying historical event ,1
his future wife ,1
clever exercise ,1
unparalleled proportions ,1
's also undeniably exceedingly clever ,1
enjoyed . ,1
the ranks ,1
most incoherent ,0
"girlfriends are bad , wives are worse ",0
have made a remarkable film that explores the monster 's psychology not in order to excuse him but rather to demonstrate that his pathology evolved from human impulses that grew hideously twisted . ,1
a funny and touching film that is gorgeously ,1
is flat . ,0
"from its ripe recipe , inspiring ingredients ",1
about each other against all odds ,1
"a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh ",1
comes across as a fairly weak retooling . ,0
romp pile ,0
the most surprising thing about this film ,1
convinced ,1
motherhood ,1
", it 's nowhere near as good as the original . ",0
"stale , standard , connect-the-dots storyline ",0
would 've worked a lot better had it been a short film . ,0
gets an exhilarating new interpretation in morvern callar . ,1
overly convenient plot twists ,0
much about the ownership and redefinition of myth ,1
turn and devolves ,0
would ever work in a mcculloch production again if they looked at how this movie turned out ,0
but it 's surprisingly harmless . ,1
is never clear ,0
is that it 's far too sentimental . ,0
naturally dramatic ,1
the courageous molly craig ,1
an artist who has been awarded mythic status in contemporary culture ,1
of vampire fun ,1
the script has less spice than a rat burger and the rock 's fighting skills are more in line with steven seagal . ,0
of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them ,1
"find it with ring , an indisputably spooky film ; ",1
muddled and ,0
few things more frustrating ,0
"a good film with a solid pedigree both in front of and , more specifically , behind the camera ",1
not one clever line of dialogue ,0
mergers and downsizing ,0
humdrum ,0
fire ,0
the knee-jerk misogyny ,0
"unique , well-crafted psychological study ",1
maintaining the appearance of clinical objectivity ,1
its old-hat set-up and predictable plot ,0
"a heartwarming , nonjudgmental kind of way ",1
manages to generate the belly laughs of lowbrow comedy without sacrificing its high-minded appeal ,1
audacity and ,0
a christmas perennial ,1
on his way to becoming the american indian spike lee ,1
"this movie may not have the highest production values you 've ever seen , ",0
a guiltless film ,1
wastes its time on mood rather than ,0
most touching movie of recent years ,1
gets us too drunk on the party favors to sober us up with the transparent attempts at moralizing ,0
"is lightweight filmmaking , to be sure ",0
lacks ,0
"the masses with star power , a pop-induced score and sentimental ",1
", taut , piercing and feisty ",1
"is meaningless , vapid and devoid of substance , ",0
's a clarity of purpose and even-handedness to the film 's direction ,1
left off the film 's predictable denouement ,0
"weirdly , broomfield has compelling new material but he does n't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car . ",0
"there 's not an original character , siuation or joke in the entire movie ",0
from ever reaching the comic heights it obviously desired ,0
the devastation of this disease ,0
"though few will argue that it ranks with the best of herzog 's works , invincible shows he 's back in form , with an astoundingly rich film . ",1
shot like a postcard ,1
is a perfect family film to take everyone to since there 's no new `` a christmas carol '' out in the theaters this year ,1
there is no denying the power of polanski 's film ... ,1
", one could rent the original and get the same love story and parable . ",0
noticeably less ,0
good intentions derailed by a failure to seek and strike just the right tone ,0
that he will once again be an honest and loving one ,1
a cold-hearted curmudgeon for not being able to enjoy a mindless action movie ,0
"murderous maids has a lot going for it , not least the brilliant performances by testud ... and parmentier . ",1
told in scattered fashion ,0
its appeal ,1
various sources ,1
commercialism all in the same movie ... without neglecting character development for even one minute ,1
every conceivable mistake a director could make in filming opera ,0
"goes a long way toward restoring the luster of the national lampoon film franchise , too long reduced to direct-to-video irrelevancy ",1
been lost in the translation ... another routine hollywood frightfest in which the slack execution italicizes the absurdity of the premise ,0
clearly see the world of our making . ,1
great story ,1
the more hackneyed elements of the film ,0
spielberg has managed to marry science fiction with film noir and action flicks with philosophical inquiry . ,1
lives down to its title . ,0
the be-all-end-all of the modern-office anomie films ,1
"like quirky , odd movies and/or the ironic ",1
ayatollah ,1
great monster/science fiction flicks ,1
"the new thriller proves that director m. night shyamalan can weave an eerie spell and that mel gibson can gasp , shudder and even tremble without losing his machismo . ",1
insufferably ,0
a bid to hold our attention ,0
very good acting ,1
are as subtle and as enigmatic ,1
"well , this movie proves you wrong on both counts . ",0
a crisp psychological drama ( and ) a fascinating little thriller that would have been perfect for an old `` twilight zone '' episode . ,1
monster truck-loving good ol' boys and peroxide blond honeys whose worldly knowledge comes from tv reruns and supermarket tabloids ,0
none of this sounds promising ,0
the movie tries to make sense of its title character ,0
"of unfocused , excruciatingly tedious cinema ",0
stupidity ,0
lost ideal ,0
"mysterious , sensual , emotionally intense , ",1
is beautiful and mysterious ,1
ever see one of those comedies that just seem like a bad idea from frame one ? ,0
"a funny , triumphant , and moving documentary . ",1
", this movie just goes on and on and on and on ",0
most inventive ,1
a deliciously nonsensical comedy about a city coming apart at its seams . ,1
"a very well-meaning movie , and ",1
benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth . ,1
all the stomach-turning violence ,0
"a more annoying , though less angry ",0
made literature literal without killing its soul ,1
the jokes are telegraphed so far in advance they must have been lost in the mail . ,0
", the rest of the cast comes across as stick figures reading lines from a teleprompter . ",0
the ideal outlet for his flick-knife diction in the role of roger swanson ,1
amounts to little more than preliminary notes for a science-fiction horror film ,0
crematorium chimney fires and stacks of dead bodies ,0
plays like an unbalanced mixture of graphic combat footage and almost saccharine domestic interludes that are pure hollywood . ,0
this dog of a movie ,0
"the movie is concocted and carried out by folks worthy of scorn , and ",0
top-notch ,1
the film 's intimate camera work and ,1
"it 's a hellish , numbing experience to watch ",0
watch the film ,1
teaming ,1
"rifkin no doubt fancies himself something of a hubert selby jr. , but there is n't an ounce of honest poetry in his entire script ; it 's simply crude and unrelentingly exploitative ",0
brisk hack job . ,0
a stale copy of a picture that was n't all that great to begin with ,0
"there are n't many conclusive answers in the film , but there is an interesting story of pointed personalities , courage , tragedy and the little guys vs. the big guys . ",1
nearly all the fundamentals you take for granted in most films are mishandled here . ,0
are worth the price of admission ... if `` gory mayhem '' is your idea of a good time ,1
'll love it and probably want to see it twice . ,1
most alive ,1
to describe exactly how bad it is ,0
an achievement ,1
lawrence hates criticism so much that he refuses to evaluate his own work ,0
dysfunctional parent-child relationship ,0
poverty ,0
"is enriched by an imaginatively mixed cast of antic spirits , headed by christopher plummer as the subtlest and most complexly evil uncle ralph i 've ever seen in the many film and stage adaptations of the work ",1
the obstacles of a predictable outcome and a screenplay that glosses over rafael 's evolution ,0
too much of storytelling ,0
"olympia , wash. , based filmmakers anne de marcken and marilyn freeman did just that and it 's what makes their project so interesting ",1
fierce grace ,1
a soul-stirring documentary about the israeli/palestinian conflict as ,1
"it may not be particularly innovative , but the film 's crisp , unaffected style and air of gentle longing make it unexpectedly rewarding ",1
"relationships in such a straightforward , emotionally honest manner that by the end ",1
could very well clinch him this year 's razzie . ,0
"laborious whine , the bellyaching of a paranoid and unlikable man . ",0
the film 's cheeky charm ,1
spreads itself too thin ,0
is a monumental achievement in practically every facet of inept filmmaking : ,0
is a career-defining revelation . ,1
is doubtful this listless feature will win him any new viewers ,0
if the poor quality of pokemon 4 ever is any indication ,0
pretends to expose the life of male hustlers ,0
few seconds ,1
"over the past year , which means that birthday girl is the kind of quirkily appealing minor movie she might not make for a while ",1
"an ultra-loud blast of pointless mayhem , going nowhere fast ",0
i still want my money back . ,0
reflect ,1
take us on his sentimental journey of the heart ,1
is about grief ,0
amusing and engrossing ,1
invite some genuine spontaneity into the film by having the evil aliens ' laser guns actually hit something for once ? ,0
is hartley 's least accessible screed yet . ,0
the director 's many dodges and turns add up to little more than a screenful of gamesmanship that 's low on both suspense and payoff . ,0
uneventful ,0
the nation ,1
"is a fragmented film , ",0
playful and haunting ,1
the movie is hindered by a central plot that 's peppered with false starts and populated by characters who are nearly impossible to care about . ,0
"it wo n't hold up over the long haul , but ",0
marginal intelligence ,0
be the movie you 're looking for ,1
unless one considers cliched dialogue and perverse escapism a source of high hilarity ,0
it 's far from fresh-squeezed ,0
psychotic than romantic ,0
grandiloquent ,1
are left with a handful of disparate funny moments of no real consequence . ,0
its target audience talked all the way through it ,0
"we never truly come to care about the main characters and whether or not they 'll wind up together , and ",0
drown out the tinny self-righteousness of his voice ,0
known as ' a perfect family film ,1
fumbled ,0
that 'll be much funnier than anything in the film ... ,0
was worth your seven bucks ,1
uneven but a lot of fun . ,1
doing nothing ,0
this gorgeous epic is guaranteed to lift the spirits of the whole family . ,1
entertainingly nasty ,1
it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,1
"though its story is only surface deep , the visuals and enveloping sounds of blue crush make this surprisingly decent flick worth a summertime look-see . ",1
"nair 's attention to detail creates an impeccable sense of place , while thurman and lewis give what can easily be considered career-best performances . ",1
at once overly old-fashioned in its sudsy plotting and ,0
a fan of the phrase ` life affirming ' because it usually means ` schmaltzy ,0
suffers from two fatal ailments -- a dearth of vitality and a story that 's shapeless and uninflected ,0
a loathsome movie ,0
schiffer ,1
as she continually tries to accommodate to fit in and gain the unconditional love she seeks ,1
insultingly simplistic ,0
beautifully reclaiming the story of carmen ,1
that were once amusing ,0
take a complete moron ,0
a thriller without a lot of thrills . ,0
"smart , solid , kinetically-charged spy flick worthy ",1
's well worth spending some time with ,1
the border collie is funny ,1
"the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ",0
oscar-winning master ,1
", the sum of all fears generates little narrative momentum , and invites unflattering comparisons to other installments in the ryan series . ",0
disney again ransacks its archives for a quick-buck sequel . ,0
an engrossing portrait of a man whose engaging manner and flamboyant style made him a truly larger-than-life character . ,1
of hope ,1
awkward hybrid ,0
plunging deeper ,1
easily the most thoughtful fictional examination of the root ,1
poorly paced you could fit all of pootie tang in between its punchlines ,0
mediocre special effects ,0
"even as i valiantly struggled to remain interested , or at least conscious ",0
is definitely a director to watch ,1
"jacobi , the most fluent of actors , is given relatively dry material from nijinsky 's writings to perform , ",0
"is pretty landbound , with its leaden acting , dull exposition and telegraphed ` surprises ",0
a pale successor ,0
"like vardalos and corbett , who play their roles with vibrant charm , the film , directed by joel zwick , is heartfelt and hilarious in ways you ca n't fake . ",1
"just might turn on many people to opera , in general ",1
the dead horse of surprise ,0
mined his personal horrors and came up with a treasure chest of material ,1
've a taste for the quirky ,1
takes its central idea way too seriously ,0
great fun both for sports aficionados and for ordinary louts whose idea of exercise is climbing the steps of a stadium-seat megaplex . ,1
an allegory concerning the chronically mixed signals african american professionals get about overachieving could be intriguing ,1
totally ,1
who seem barely in the same movie ,0
of embarrassingly ham-fisted sex jokes ,0
classic story ,1
of crap ,0
too slow ,0
morbid one ,0
sincere acting ,1
"scarily funny , sorrowfully sympathetic to the damage it ",1
"it was n't the subject matter that ultimately defeated the film ... it was the unfulfilling , incongruous , `` wait a second ",0
another generic drama ,0
a superior crime movie ,1
deeply out of place ,0
it is one that allows him to churn out one mediocre movie after another ,0
"'s a tribute to the actress , and to her inventive director , that the journey is such a mesmerizing one ",1
", pretentious ",0
satisfying entertainment ,1
the movie 's captivating details ,1
found his groove ,1
buckaroo ,1
a huge heart ,1
raffish charm ,1
straight to video ,0
"is intriguing , provocative stuff . ",1
becomes a part of its fun ,1
may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence . ,0
totalitarian ,0
will please eastwood 's loyal fans ,1
is just a corny examination of a young actress trying to find her way ,0
"has the high-buffed gloss and high-octane jolts you expect of de palma , but what makes it transporting is that it 's also one of the smartest ",1
cut their losses -- and ours -- and retitle it the adventures of direct-to-video nash ,0
"in the disturbingly involving family dysfunctional drama how i killed my father , french director anne fontaine delivers an inspired portrait of male-ridden angst and the emotional blockage that accompanies this human condition ",1
preferable ,1
think this movie loves women at all ,0
honest performances ,1
might be distracted by the movie 's quick movements and ,0
maintains your sympathy for this otherwise challenging soul by letting you share her one-room world for a while . ,1
"for those who like quirky , slightly strange french films ",1
"absurd plot twists , ",0
is that i ca n't wait to see what the director does next ,1
one of france 's most inventive directors ,1
", 84 minutes is short ",1
dark pit ,0
detail ,1
of musical passion ,1
even while his characters are acting horribly ,0
terrific setpieces ,1
with such provocative material ,1
", `` far from heaven '' is a masterpiece . ",1
tian 's meticulous talent has not withered during his enforced hiatus ,1
are enthralling ,1
the plot ` surprises ' ,1
hugely enjoyable in its own right though not really faithful to its source 's complexity ,1
quite able ,1
", violent movie ",0
contrived ,0
freshening ,1
"about this silly , outrageous , ingenious thriller ",1
the devastation ,0
since its poignancy hooks us completely ,1
"be funny , uplifting and moving ",1
"a tired , unimaginative and derivative variation of that already-shallow genre . ",0
satire lucky break ,1
be an enjoyable choice for younger kids ,1
enjoyed barbershop ,1
indoor drama ,1
fast-moving and cheerfully ,1
uninspired philosophical ,0
heroic deserves a look ,1
a movie that refreshes the mind and spirit along with the body ,1
"campy recall for older fans or a silly , nickelodeon-esque kiddie flick ",0
after several scenes of this tacky nonsense ,0
"as an emotionally accessible , almost mystical work ",1
"gentle , endearing 1975 children 's novel ",1
jones and snipes are enthralling ,1
dredge up ,0
"a zippy 96 minutes of mediocre special effects , hoary dialogue , fluxing accents , and -- worst of all -- silly-looking morlocks . ",0
long after this film has ended ,1
"there is plenty of room for editing , and ",0
do n't avert our eyes for a moment . ,1
generates an enormous feeling of empathy for its characters ,1
the modern-day characters are nowhere near as vivid as the 19th-century ones . ,0
challenging or depressing ,0
gorgeous and deceptively minimalist ,1
real masterpiece ,1
spiffy animated feature ,1
in a stunning fusion of music and images ,1
serves as a workable primer for the region 's recent history ,1
funniest moments ,1
"shreve 's graceful dual narrative gets clunky on the screen , ",0
full of cheesy dialogue ,0
"it 's kind of insulting , both to men and women . ",0
"has a lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth ",1
is darkly funny in its observation of just how much more grueling and time-consuming the illusion of work is than actual work . ,1
a remarkably insightful ,1
sentiment and withholds delivery ,0
the right conditions ,1
are fun and reminiscent of combat scenes from the star wars series ,1
"takes you by the face , strokes your cheeks ",1
"unparalleled proportions , writer-director parker ",1
a truly wonderful tale combined with stunning animation . ,1
", self-indulgent and maddening ",0
there 's a clarity of purpose and even-handedness to the film 's direction ,1
"it 's a testament to the film 's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries . ",1
notable for its sheer audacity and openness ,1
manipulative and ,0
a bit too eager to please . ,0
do n't know what she 's doing in here ,0
debts ,0
is well below expectations ,0
a quest story as grand as the lord of the rings ,1
more busy than exciting ,0
"did no one on the set have a sense of humor , ",0
is a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing ,0
may as well be called `` jar-jar binks : the movie . ,0
exceedingly pleasant ,1
an achievement ,1
unifying rhythm ,1
it tries to pump life into overworked elements from eastwood 's dirty harry period ,0
( stephen ) earnhart 's film is more about the optimism of a group of people who are struggling to give themselves a better lot in life than the ones they currently have . ,1
"a bad improvisation exercise , the superficially written characters ramble on tediously about their lives , loves and the art ",0
blue crush is so prolonged and boring it is n't even close to being the barn-burningly bad movie it promised it would be . ,0
kind of special ,1
"if you have n't seen the film lately , you may be surprised at the variety of tones in spielberg 's work . ",1
immense imax screen ,1
glaring and unforgettable . ,1
a bang-up job of pleasing the crowds ,1
of extravagant ,1
diminishing his stature from oscar-winning master to lowly studio hack ,0
the place where a masterpiece should be ,1
succeeds in making neither ,0
"spirals downward , ",0
retitle it the adventures of direct-to-video nash ,0
"if festival in cannes nails hard - boiled hollywood argot with a bracingly nasty accuracy , much about the film , including some of its casting , is frustratingly unconvincing . ",0
"a surprisingly juvenile lark , ",0
very handsomely produced let-down ,0
every-joke-has - been-told-a ,0
it 's probably not easy to make such a worthless film ... ,0
told in scattered fashion ,0
ultimately purposeless ,0
that seek to remake sleepless in seattle again and again ,0
"animation back 30 years , musicals back 40 years and ",0
plotless ,0
", bordering on offensive , waste of time , money and celluloid . ",0
"to being lectured to by tech-geeks , if you 're up for that sort of thing ",0
that 's superficial and unrealized ,0
sure what -- and has all the dramatic weight of a raindrop ,0
painful and ,0
unadorned ,0
for sick and demented humor ,0
you 're going to face frightening late fees ,0
until then there 's always these rehashes to feed to the younger generations ,0
witlessness ,0
"in that setting , their struggle is simply too ludicrous and borderline insulting . ",0
into some univac-like script machine ,0
little is done to support the premise other than fling gags at it to see which ones shtick . ,0
is why i have given it a one-star rating ,0
terrible ,0
suffers because of its many excesses ,0
a 20-car pileup ,0
this stuck pig of a movie flails limply between bizarre comedy and pallid horror . ,0
historic scandal ,0
worst movies ,0
the tinny self-righteousness ,0
rosenthal ( halloween ii ) seems to have forgotten everything he ever knew about generating suspense . ,0
"will dip into your wallet , swipe 90 minutes of your time , and offer you precisely this in recompense : a few early laughs scattered around a plot as thin as it is repetitious ",0
", i spy has all the same problems the majority of action comedies have . ",0
subplots involving the various silbersteins that it feels more like the pilot episode of a tv series than a feature film ,0
is n't as compelling or as believable as it should be . ,0
"i was trying to decide what annoyed me most about god is great ... i 'm not , and then i realized that i just did n't care . ",0
", son of the bride becomes an exercise in trying to predict when a preordained `` big moment '' will occur and not `` if . '' ",0
big time stinker ,0
seagal is painfully foolish in trying to hold onto what 's left of his passe ' chopsocky glory . ,0
assume is just another day of brit cinema ,0
"construct based on theory , sleight-of-hand , and ill-wrought hypothesis ",0
"at the very root of his contradictory , self-hating , self-destructive ways ",0
would reach for a barf bag ,0
watching junk ,0
be exasperated by a noticeable lack of pace ,0
banal and predictable ,0
musty as one of the golden eagle 's carpets ,0
idea ( of middle-aged romance ) is not handled well ,0
about as unsettling to watch as an exploratory medical procedure or an autopsy ,0
trotting out threadbare standbys ,0
is a just a waste . ,0
no charm ,0
"talky , artificial and opaque ... an interesting technical exercise , but a tedious picture . ",0
"a text to ` lick , ",0
dupe ,0
slow ,0
was that movie nothing more than a tepid exercise in ,0
comedian runs out of steam after a half hour . ,0
fully forgotten ,0
how very bad a motion picture can truly be ,0
spent watching this waste of time ,0
derailed ,0
very shapable but largely unfulfilling present ,0
"the story is lacking any real emotional impact , and the plot is both contrived and cliched ",0
searching for a quarter in a giant pile of elephant feces ... positively dreadful ,0
is unfocused ,0
"contains almost enough chuckles for a three-minute sketch , and no more . ",0
that anyone in his right mind would want to see the it ,0
"joyless , idiotic , annoying , heavy-handed ",0
hard for me ,0
jason x is this bad on purpose ,0
an empty exercise ,0
devolves into the derivative ,0
a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition ,0
there is n't much to it . ,0
"long before it 's over , you 'll be thinking of 51 ways to leave this loser . ",0
"patchy combination of soap opera , low-tech magic realism and , at times , ploddingly sociological commentary ",0
